,Number of steps,Surface coverage,Schwoebel barrier,Desorption probability,Regime,Growth rate,Rms
5524,7.0,0.0948,0.89947,0.26413834,0.0,0.010461256733441109,0.4531747720787323
5525,7.0,0.0954,0.913133,0.00072438,2.0,0.9248769665598522,3.28762302243796
5526,7.0,0.0957,0.29913,0.00287174,1.0,0.014603951234511626,0.45741063592975806
5527,7.0,0.0955,0.543592,1.49e-06,1.0,0.012660068256166827,0.46838507518857825
5528,7.0,0.0961,0.737239,0.00108935,1.0,0.014559509455288775,0.47110917278158043
5529,7.0,0.0972,0.971815,1.416e-05,1.0,0.016098978915645462,0.5076576127983594
5530,7.0,0.0974,0.985615,0.00313405,0.0,0.0036528339886456457,0.45328945755958083
5531,7.0,0.0982,0.129447,0.00040191,0.0,0.005802743984033309,0.45149246389613323
5532,7.0,0.0983,0.291837,2.86e-06,2.0,0.3610357390200779,0.6741832162962547
5533,7.0,0.0975,0.324865,0.00277103,1.0,0.014967492996082325,0.46273828677601714
5534,7.0,0.0984,0.842979,0.74589257,0.0,0.014900418829292283,0.4549005523221609
5535,7.0,0.0994,0.028261,0.00041034,1.0,0.012035992680763675,0.45773872065025833
5536,7.0,0.0986,0.355701,0.00028446,1.0,0.012472035933513995,0.4650957929012768
5537,7.0,0.1004,0.041372,0.00124797,2.0,0.37788564609716657,0.6340667431327962
5538,7.0,0.0999,0.4645,0.00632442,0.0,0.0070130484444754105,0.4543331614438981
5539,7.0,0.0998,0.946363,0.01058573,1.0,0.0214464727018039,0.4661060320382376
5540,7.0,0.0999,0.979864,0.0006993,1.0,0.016058296225856375,0.5050132561947777
5541,7.0,0.1011,0.097475,0.00599481,2.0,0.37122842104719955,0.6344597469208185
5542,7.0,0.1012,0.457155,0.00204002,1.0,0.015297692301669516,0.4607336930550927
5543,7.0,0.1013,0.709061,0.00353177,1.0,0.017421064705684233,0.4618490203380546
5544,7.0,0.1025,0.086138,2.454e-05,1.0,0.012276196271267957,0.461846746308407
5545,7.0,0.1021,0.338325,9.31e-06,0.0,0.005671642959639174,0.45265199400859496
